id,teff_16,teff,teff_84,e_teff,logg_16,logg,logg_84,e_logg,feh_16,feh,feh_84,e_feh,age_16,age,age_84,mass_16,mass,mass_84,radius_16,radius,radius_84,distance_16,distance,distance_84,luminosity_16,luminosity,luminosity_84,AV_16,AV,AV_84,nu_max_16,nu_max,nu_max_84,delta_nu_16,delta_nu,delta_nu_84
4667307498474314624,-18,5727,19,26,-0.01,4.60,0.00,0.011,-0.025,-0.401,0.015,0.029,-0.08,0.23,0.95,-0.01,0.86,0.01,-0.004,0.770,0.005,-0.538,240.729,0.615,-0.013,0.574,0.012,-0.026,0.251,0.025,-117.045,4561.393,30.986,-2.950,194.390,0.935
4670293359738627328,-13,5817,14,19,-0.00,4.55,0.00,0.002,-0.010,-0.230,0.009,0.014,-0.06,1.03,0.05,-0.00,0.93,0.00,-0.002,0.848,0.002,-0.472,226.138,0.466,-0.010,0.742,0.010,-0.014,0.127,0.015,-16.138,3989.274,15.698,-0.517,174.074,0.486
3107155298151001728,-26,6918,24,36,-0.02,3.92,0.02,0.025,-0.334,-1.963,0.296,0.446,-0.62,6.54,0.61,-0.03,0.94,0.03,-0.024,1.761,0.024,-9.261,772.408,9.826,-0.169,6.389,0.170,-0.000,0.000,0.000,-31.873,859.831,37.540,-1.309,58.052,1.468
2545408863281090688,-5,5811,7,9,-0.01,4.16,0.01,0.010,-0.010,-0.435,0.014,0.018,-0.25,13.27,0.16,-0.00,0.86,0.01,-0.009,1.280,0.009,-2.338,398.926,2.445,-0.020,1.683,0.021,-0.000,0.000,0.000,-24.019,1617.593,25.375,-0.978,92.971,0.994
604916731706106752,-92,6113,142,169,-0.02,4.10,0.03,0.037,-0.050,-0.473,0.046,0.068,-1.56,7.94,0.99,-0.03,0.98,0.05,-0.016,1.463,0.015,-2.959,490.700,2.668,-0.127,2.697,0.198,-0.059,0.229,0.088,-55.323,1380.072,81.969,-1.979,80.945,2.686
5730371484020807808,-34,4706,26,43,-0.03,3.65,0.02,0.032,-0.035,-0.683,0.066,0.075,-0.00,0.00,0.00,-0.03,0.81,0.02,-0.034,2.246,0.045,-0.016,21.420,0.018,-0.017,2.224,0.023,-0.000,0.000,0.000,-30.965,554.729,22.208,-1.396,36.657,1.105
4664501132485651712,-26,5934,28,39,-0.00,4.56,0.00,0.005,-0.018,-0.365,0.021,0.028,-0.22,0.43,0.21,-0.00,0.92,0.01,-0.003,0.831,0.003,-0.749,277.338,0.794,-0.018,0.770,0.019,-0.027,0.292,0.028,-35.216,4091.635,34.423,-1.006,178.708,0.965
3119797036166157312,-18,6957,19,26,-0.00,4.21,0.00,0.006,-0.006,-1.351,0.009,0.011,-0.00,0.01,0.00,-0.00,1.12,0.00,-0.007,1.384,0.007,-0.204,441.391,0.153,-0.006,4.024,0.007,-0.001,0.140,0.001,-13.504,1656.622,13.491,-0.526,88.330,0.526
3323103779888302208,-89,7946,80,120,-0.03,4.02,0.03,0.039,-0.137,-0.440,0.146,0.200,-0.18,1.28,0.22,-0.08,1.61,0.08,-0.032,2.063,0.031,-12.364,854.697,11.784,-0.678,15.158,0.716,-0.043,0.609,0.041,-58.599,1006.304,56.489,-1.564,55.458,1.468
3323141201941964928,-220,6332,203,299,-0.04,4.07,0.02,0.048,-0.757,-0.897,0.390,0.852,-1.39,8.19,1.65,-0.10,0.95,0.04,-0.016,1.485,0.016,-2.951,501.708,2.823,-0.365,3.184,0.397,-0.109,0.475,0.096,-139.469,1272.688,65.392,-3.704,77.232,2.050
3318238097338032768,-15,5973,16,23,-0.02,4.21,0.02,0.023,-0.063,-0.207,0.058,0.086,-0.75,7.99,0.78,-0.03,0.99,0.03,-0.011,1.290,0.011,-2.351,402.546,2.384,-0.024,1.908,0.025,-0.000,0.000,0.000,-66.188,1818.591,68.962,-1.937,97.798,2.043
2966762717143706112,-7,5831,10,13,-0.01,4.29,0.01,0.010,-0.016,-0.467,0.022,0.027,-0.53,13.09,0.28,-0.00,0.83,0.01,-0.006,1.076,0.005,-1.231,331.171,1.310,-0.009,1.206,0.010,-0.000,0.000,0.001,-24.580,2220.610,35.985,-0.868,117.781,1.178
