,dr2_source_id,dr3_source_id,tic_id,parallax,parallax_unc,galex_fuv,galex_fuv_unc,galex_fafl,galex_nuv,galex_nuv_unc,galex_nafl,skymapper_u,skymapper_u_unc,skymapper_v,skymapper_v_unc,skymapper_g,skymapper_g_unc,skymapper_r,skymapper_r_unc,skymapper_i,skymapper_i_unc,skymapper_z,skymapper_z_unc,sdss_u,sdss_u_unc,sdss_g,sdss_g_unc,sdss_r,sdss_r_unc,sdss_i,sdss_i_unc,sdss_z,sdss_z_unc,gaia_g,gaia_g_unc,gaia_bp,gaia_bp_unc,gaia_rp,gaia_rp_unc,tmass_j,tmass_j_unc,tmass_h,tmass_h_unc,tmass_k,tmass_k_unc,wise_w1,wise_w1_unc,wise_w2,wise_w2_unc,allsky_w1,allsky_w1_unc,allsky_w2,allsky_w2_unc
0,4475968560866895232,4475968560866895232,302247431,1.72978219801689,0.3606258,21.6741,0.4865,0,16.2151,0.0204,17,,,,,,,,,,,,,13.69374,0.02242884,,,,,,,12.08279,0.00926176,12.240038,0.0003,,,,,11.255,0.019,11.031,0.0309,10.946,0.019,10.8819999694824,0.0230000000447034,10.9049997329712,0.0209999997168779,,,,
1,4547558415784064128,4547558415784064128,400111968,3.12379984625999,0.0142723825,,,256,17.0392,0.0181,1,,,,,,,,,,,,,,,,,,,,,,,12.152149,0.0003,,,,,11.054,0.0196,10.772,0.0281,10.706,0.0217,10.6590003967285,0.0230000000447034,10.6890001296997,0.0199999995529651,,,,
2,4546419970277320320,4546419970277320320,310719016,5.41591563623668,0.01477694,,,0,17.7288,0.0368,1,,,,,,,,,,,,,,,,,,,,,,,11.809149,0.0003,,,,,10.599,0.0167,10.221,0.0271,10.13,0.024,10.0679998397827,0.0230000000447034,10.1199998855591,0.0199999995529651,,,,
3,4546414507078911232,4546414507078911232,154703408,4.47313287673305,0.01939056,,,0,16.1988,0.0184,17,,,,,,,,,,,,,,,,,,,,,,,11.30237,0.0003,,,,,10.183,0.0177,9.88,0.0226,9.819,0.0197,9.73099994659424,0.0230000000447034,9.76099967956543,0.0199999995529651,,,,
4,4547936785224930304,4547936785224930304,143166189,2.53517190840928,0.023428012,20.8957,0.2805,0,15.4021,0.0082,1,,,,,,,,,,,,,,,,,,,,,,,11.433154,0.0003,,,,,10.514,0.0179,10.256,0.0191,10.24,0.0179,10.1850004196167,0.0230000000447034,10.1999998092651,0.0199999995529651,,,,
5,4546047476351812736,4546047476351812736,263800387,2.96710535495698,0.0113630975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.432541,0.0003,,,,,11.331,0.0259,10.964,0.0303,10.945,0.0159,10.8839998245239,0.0230000000447034,10.9130001068115,0.0199999995529651,,,,
6,4546195742919822080,4546195742919822080,353286164,3.79570938456126,0.025822032,,,0,16.6661,0.0244,1,,,,,,,,,,,,,13.29827,0.01400172,,,,,,,,,11.626889,0.0003,,,,,10.522,0.0183,10.192,0.0186,10.12,0.0183,10.1000003814697,0.0230000000447034,10.1230001449585,0.0209999997168779,,,,
7,1461256111571623552,1461256111571623552,307761020,2.2678594549237,0.026669769,21.3516,0.2944,0,15.3347,0.0115,0,,,,,,,,,,,,,13.09354,0.007352312,,,,,,,,,11.770133,0.0003,,,,,10.868,0.0178,10.602,0.0283,10.579,0.0182,10.544,0.023,10.587,0.02,,,,
8,1461536555755586688,1461536555755586688,305837421,2.16565212263829,0.0148263695,21.4579,0.2654,0,16.4158,0.0156,0,,,,,,,,,,,,,13.76046,0.02389622,,,,,,,12.17978,0.01641839,12.337134,0.0003,,,,,11.336,0.018,11.056,0.0171,11.012,0.0178,10.991,0.023,11.01,0.021,,,,
9,1331108363300956416,1331108363300956416,40049491,2.88338689251339,0.010120441,,,0,16.8404,0.025,0,,,,,,,,,,,,,13.785,0.01025817,,,,,,,12.1292,0.01427666,12.291575,0.0003,,,,,11.274,0.0187,10.999,0.0171,10.944,0.0168,10.9250001907349,0.0230000000447034,10.9530000686646,0.0209999997168779,,,,
10,1330921618122569088,1330921618122569088,255931101,1.97535431011622,0.010797133,,,0,16.6345,0.0235,0,,,,,,,,,,,,,13.81747,0.01851599,,,,,,,,,12.350885,0.0003,,,,,11.33,0.013,11.038,0.0144,10.974,0.0149,10.9200000762939,0.0230000000447034,10.9359998703003,0.0209999997168779,,,,
11,1330973363888535680,1330973363888535680,257092425,3.14983389087884,0.0931366,19.1484,0.1122,0,14.4428,0.008,1,,,,,,,,,,,,,,,,,,,,,,,10.655189,0.0003,,,,,9.868,0.0171,9.688,0.0146,9.644,0.0167,9.5930004119873,0.0219999998807907,9.61499977111816,0.0209999997168779,,,,
12,1380370362579127808,1380370362579127808,39900381,2.32006548005326,0.015806146,,,0,16.9394,0.0171,0,,,,,,,,,,,,,13.8873,0.01928479,,,,,,,12.16532,0.01408482,12.361001,0.0003,,,,,11.303,0.0176,10.973,0.0223,10.939,0.0168,10.9099998474121,0.0230000000447034,10.923999786377,0.0199999995529651,,,,
13,1356186642981956736,1356186642981956736,57300823,3.37911699500168,0.018349752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.220035,0.0003,,,,,10.349,0.0165,10.116,0.0171,10.045,0.0151,,,,,,,,
14,1331588879946037760,1331588879946037760,68874447,4.13081627214989,0.012527932,,,0,16.0211,0.0172,0,,,,,,,,,,,,,13.03937,0.02128343,,,,,,,11.43816,0.01759715,11.58741,0.0003,,,,,10.586,0.0187,10.315,0.0199,10.257,0.0168,10.2390003204346,0.0230000000447034,10.2670001983643,0.0199999995529651,,,,
15,1332174820860613120,1332174820860613120,39948138,6.6251994353898,0.010989037,,,256,15.4091,0.0073,1,,,,,,,,,,,,,,,,,,,,,,,10.523504,0.0003,,,,,9.491,0.018,9.189,0.0183,9.136,0.0148,9.10299968719482,0.0219999998807907,9.13700008392334,0.0199999995529651,,,,
16,1332473922382506368,1332473922382951424,39942761,9.30066477243058,0.01500547,,,,,,,,,,,,,,,,,,,16.58381,0.01450623,,,,,,,12.00663,0.01835823,12.787043,0.0003,,,,,10.837,0.0207,10.183,0.0213,10.041,0.0229,10.0,0.0280000008642673,10.0329999923706,0.0270000007003545,,,,
17,2051734017924927104,2051734017924927104,137488092,3.55782885662918,0.0660679,,,,,,,,,,,,,,,,,,,12.996,0.01374453,,,,,,,11.41604,0.01935981,11.566316,0.0003,,,,,10.625,0.0186999998986721,10.3769998550415,0.024100000038743,,,10.2559995651245,0.0230000000447034,10.293999671936,0.0199999995529651,,,,
18,2051747456887602304,2051747456887602304,137098539,0.871206315866864,0.010576482,,,,,,,,,,,,,,,,,,,13.6814,0.01159514,,,,,,,12.2707,0.01165732,12.286785,0.0003,,,,,11.5279998779297,0.0161000005900859,11.3649997711182,0.0197999998927116,11.3529996871948,0.0190999992191791,11.3140001296997,0.0230000000447034,11.3190002441406,0.0209999997168779,,,,
